x,y,x_pix,y_pix,fiber_area,myelin_area,fiber_area_pix,myelin_area_pix,rho,rho_pix,phi,hull_vertices,perimeter,hull_vertices_w_myel,shortest_diameter,longest_diameter,shortest_diameter_w_myel,longest_diameter_w_myel,eff_fib_diam,eff_fib_diam_w_myel,median_myelin_thickness,max_myelin_thickness,myelinated,chat,unmyel_nf,nav,th_overlap_p,c_estimate_nf_frac,c_estimate_nf,c_estimate_nav,c_estimate_nav_frac
17.654,174.641,117.694,1164.273,5.512,4.14,245,184,197.835,1318.9,1.394,"[[16.050,174.450],[16.650,173.850],[17.400,173.550],[17.850,173.550],[18.300,173.700],[18.600,173.850],[19.350,174.600],[19.350,174.900],[19.200,175.200],[18.600,175.500],[16.650,175.500],[16.350,175.350],[16.050,175.050]]",8.593,"[[17.100,176.100],[14.400,174.900],[15.450,172.500],[16.650,171.750],[18.300,171.900],[19.350,174.600],[19.350,174.900],[19.200,175.200],[18.000,175.950]]",1.957,3.274,3.431,4.783,2.649,3.506,0.742,1.943,True,True,False,False,0.0,0.0,0,,
16.445,169.208,109.632,1128.055,3.668,24.548,163,1091,200.046,1333.64,1.368,"[[15.000,169.350],[15.450,168.300],[15.900,168.300],[16.650,168.450],[16.950,168.600],[17.400,168.900],[18.000,169.650],[18.000,169.800],[17.700,170.100],[17.550,170.100],[15.750,169.800],[15.150,169.500]]",7.626,"[[13.500,167.100],[15.900,166.650],[16.050,166.650],[16.950,166.800],[20.250,167.850],[20.400,169.800],[20.400,170.100],[18.450,171.750],[16.350,171.750],[15.300,171.300],[14.700,171.000],[13.650,169.950],[13.200,169.200],[13.200,169.050],[13.350,167.250]]",1.486,2.878,4.846,7.216,2.161,5.73,1.837,3.032,True,True,False,False,0.0,0.0,0,,
5.887,174.834,39.245,1165.562,40.567,3.15,1803,140,209.397,1395.983,1.405,"[[3.450,178.200],[3.150,176.700],[3.150,172.650],[3.300,171.750],[3.450,171.450],[3.900,171.150],[4.650,170.850],[6.150,170.850],[8.400,172.350],[8.700,172.650],[9.150,173.550],[9.450,175.050],[9.450,175.500],[9.150,176.250],[7.950,177.600],[7.800,177.750],[6.750,178.350],[6.150,178.650],[5.250,178.950],[4.650,178.950],[3.750,178.650]]",23.535,"[[7.350,170.100],[9.450,173.700],[9.450,175.500],[9.150,176.250],[7.950,177.600],[7.800,177.750],[6.750,178.350],[6.150,178.650],[5.250,178.950],[4.650,178.950],[3.750,178.650],[3.450,178.200],[3.000,177.150],[3.000,171.150],[5.700,170.400],[7.200,170.100]]",6.246,7.935,6.475,8.957,7.187,7.451,0.522,2.998,True,True,False,False,0.0,0.0,0,,
11.449,172.606,76.33,1150.709,12.69,7.897,564,351,204.303,1362.018,1.39,"[[11.400,174.450],[9.900,174.000],[9.600,173.700],[9.300,172.500],[9.450,171.750],[9.600,171.450],[9.900,171.150],[10.800,170.850],[12.150,170.700],[12.450,170.850],[12.750,171.150],[13.050,171.600],[13.650,172.950],[13.650,173.400],[12.900,174.150],[12.450,174.300],[11.700,174.450]]",12.886,"[[14.100,170.550],[15.300,172.500],[15.300,172.800],[14.850,173.850],[14.400,174.750],[14.250,174.900],[13.950,175.050],[9.900,174.150],[9.600,173.850],[9.450,173.550],[9.300,172.500],[9.450,171.600],[9.750,171.000],[11.400,170.100],[13.200,169.350],[13.350,169.500]]",3.672,4.417,4.364,5.924,4.02,5.114,0.362,1.803,True,True,False,False,0.0,0.0,0,,
13.13,179.465,87.535,1196.434,2.902,1.845,129,82,201.517,1343.447,1.422,"[[14.700,178.350],[13.800,180.000],[13.650,180.150],[13.350,180.300],[12.600,180.300],[12.300,180.150],[12.150,179.700],[12.150,179.400],[12.300,178.950],[13.050,178.650],[14.250,178.350]]",7.256,"[[12.150,181.200],[12.150,179.400],[12.300,178.950],[13.050,178.500],[13.500,178.350],[14.850,178.350],[15.150,178.650],[13.500,181.800],[13.350,181.950],[13.050,181.950],[12.750,181.800],[12.300,181.500]]",1.64,2.718,2.372,3.457,1.922,2.459,0.568,1.656,True,True,False,False,0.0,0.0,0,,
17.076,179.744,113.84,1198.296,1.822,2.767,81,123,197.574,1317.16,1.42,"[[18.300,179.700],[18.300,180.000],[17.700,180.150],[16.650,180.150],[16.200,180.000],[16.050,179.700],[16.050,179.400],[16.200,179.250],[16.800,179.250],[18.000,179.550]]",5.463,"[[16.200,180.600],[15.600,179.850],[16.200,179.250],[16.800,178.950],[16.950,178.950],[18.600,179.100],[18.900,179.250],[19.050,179.700],[19.050,180.000],[18.900,180.300],[17.700,180.900],[17.100,180.900],[16.500,180.750]]",0.829,2.242,1.908,3.318,1.523,2.417,0.599,1.04,True,True,False,False,0.0,0.0,0,,
22.196,182.242,147.974,1214.948,1.732,3.24,77,144,192.144,1280.962,1.429,"[[21.150,182.100],[21.150,181.650],[21.600,181.650],[22.950,182.100],[23.250,182.400],[23.250,182.700],[23.100,182.850],[22.950,182.850],[22.200,182.700],[21.450,182.400]]",5.406,"[[23.250,185.250],[20.700,183.000],[20.400,182.700],[20.250,182.400],[20.400,182.250],[21.150,181.650],[21.600,181.650],[22.950,182.100],[24.750,183.600],[24.900,184.050],[24.900,184.500],[24.750,184.650],[24.300,184.950],[23.700,185.250]]",0.8,2.26,1.966,4.327,1.485,2.516,1.152,3.488,True,False,False,False,0.0,0.0,0,,
14.193,177.747,94.617,1184.979,2.115,0.675,94,30,200.73,1338.203,1.412,"[[13.500,177.300],[14.550,177.150],[15.000,177.300],[15.300,177.600],[15.300,177.750],[14.850,178.200],[13.200,178.200],[13.200,177.600]]",5.42,"[[15.000,178.800],[13.050,178.350],[13.350,176.700],[13.650,176.400],[13.950,176.400],[15.000,177.300],[15.300,177.600],[15.300,177.750],[15.150,178.500]]",1.0,2.095,1.77,2.574,1.641,1.885,0.362,0.881,True,False,False,False,0.0,0.0,0,,
15.464,182.8,103.095,1218.667,0.945,10.597,42,471,198.735,1324.903,1.437,"[[15.000,182.250],[15.450,182.250],[15.600,182.400],[16.050,183.000],[15.900,183.300],[15.300,183.300],[15.150,183.000],[15.000,182.550]]",3.457,"[[13.200,185.250],[13.200,182.100],[13.650,181.800],[14.250,181.500],[15.300,181.500],[15.750,181.650],[15.900,181.800],[16.650,183.450],[16.650,183.750],[16.500,184.350],[15.900,185.700],[15.300,185.700],[13.650,185.400]]",0.722,1.291,3.146,4.155,1.097,3.77,1.016,2.865,True,False,False,False,0.0,0.0,0,,
15.072,180.491,100.483,1203.276,0.652,0.945,29,42,199.445,1329.636,1.425,"[[15.000,180.150],[15.600,180.450],[15.600,180.750],[15.000,180.750],[14.550,180.600],[14.550,180.300],[14.850,180.150]]",2.831,"[[15.600,180.000],[16.050,180.450],[16.050,180.600],[15.750,181.500],[13.950,181.650],[13.650,181.650],[13.800,181.200],[14.550,180.300],[14.850,180.150]]",0.545,1.092,1.448,2.348,0.911,1.426,0.42,1.607,True,False,False,False,0.0,0.0,0,,
